41.49,3.77,82.74
29.08,6.81,40.24
15.85,3.79,35.82
15.75,3.28,33
11.27,10.22,31.37
23.2,4.22,30.26
11.38,6.5,30.01
14.03,2.93,29.02
14.59,4.7,28.62
26.93,0.28,28.31
9.07,1.93,24.76
9.81,4.13,23.42
9,7.2,23.1
8.94,3.6,22.72
9.09,2.53,22
14.97,0.24,21.82
7.01,0.97,21.4
9.43,0.41,20.81
12.78,3.54,20.61
4.75,4.16,20.22
6.42,6.04,18.36
10.83,4.18,18.14
9.54,3.84,17.28
9.63,0.06,16.38
8.41,0.47,16.15
6.06,5.38,15.85
5.57,5.65,15.32
3.44,5.32,15.3
6.85,1.87,14.98
9.03,0.13,14.76
5.89,3.12,14.64
9.67,0.11,14.64
5.17,4.34,14.35
5.77,0.35,14.24
4.99,0.65,14.03
8.25,0.07,13.73
8.52,0.08,13.51
5.54,0.49,13.46
6.99,0.3,13.1
6.75,2.66,13.04
5.98,0.48,12.73
2.55,5.33,12.27
4.74,2.67,12.21
7.97,0.13,12.14
3.8,0.36,11.98
4.4,3.96,11.9
6.91,1.91,11.89
3.01,1.1,11.66
6.16,1.2,11.52
4.23,3.08,11.33
6.16,2.69,11.18
6.76,0.14,11.02
4.02,2.54,10.95
4.89,2.13,10.79
2.96,0.81,10.77
4.99,0.38,10.69
4.76,0.44,10.57
5.99,2.12,10.55
4.34,3.15,10.49
5.08,1.25,10.42
6.05,0,10.26
6.72,0.04,10.21
7.03,0.08,9.88
5.55,2.23,9.87
3.66,2.47,9.82
6.63,0.04,9.76
3.01,3.28,9.72
4.09,0.38,9.59
5.84,0.01,9.52
3.88,1.69,9.49
5.91,0.13,9.32
4.36,3,9.3
5.58,0.02,9.2
2.01,4.36,9.09
4.46,1.98,9.02
5.03,0.1,8.84
3.54,3.81,8.76
1.11,0.06,8.49
1.79,2.49,8.49
6.82,0.05,8.49
3.81,1.58,8.42
2.91,3.14,8.33
1.06,0.13,8.24
0.98,0,8.11
5.8,0.13,8.09
2.58,0.66,8.06
2.91,2.73,8.05
2.28,3.63,7.86
2.82,2.69,7.84
7.28,0,7.81
2.9,0.24,7.72
3.66,0.98,7.69
2.93,0.22,7.67
2.8,0.14,7.6
4.1,1.45,7.6
3.78,1.31,7.58
5.39,0.7,7.46
3.24,2.42,7.45
4.79,0,7.37
4.46,0.06,7.34
3.83,0.6,7.31
4.52,0.01,7.3
3.51,0,7.27
2.85,0.35,7.23
3.27,0.08,7.2
3.27,1.4,7.16
3.68,1.42,7.13
4.41,1.39,7.07
3.13,1.27,6.96
2.47,0.24,6.96
4.12,0.87,6.95
4.14,0,6.91
0.78,0.07,6.9
2.71,0.08,6.9
2.93,0.17,6.83
2.77,0.19,6.83
3.23,0.94,6.82
3.5,0,6.81
4.15,0.06,6.76
3.27,0.21,6.73
3.1,0.28,6.72
0.84,0.11,6.69
1.67,1.6,6.67
2.79,0.17,6.6
0.79,0.05,6.59
3.25,1.03,6.59
2.55,0.25,6.56
3.74,1.69,6.51
2.64,0.16,6.5
4.98,0.08,6.43
2.57,2.06,6.41
3.64,1.49,6.4
2.55,1.29,6.39
4.34,0.06,6.36
3.7,0.09,6.34
4.01,0.87,6.31
2.47,2.87,6.3
0.07,0,6.28
3.11,0.02,6.27
3.92,0.03,6.24
4.05,0.07,6.24
3.54,0.07,6.11
2.45,0.87,6.05
4.47,0.16,6.03
2.63,0.83,6.03
3.18,0.78,6.03
2.41,0.28,5.99
1.88,2.33,5.95
2.8,0.17,5.92
0.66,4.35,5.84
3.66,0,5.83
1.88,2.02,5.82
2.26,1.36,5.74
3.13,0.07,5.72
2.49,0.16,5.65
2.97,1.81,5.58
2.54,0.21,5.57
2.95,1.97,5.55
3.28,0.07,5.55
2.7,0.11,5.53
2.99,0.1,5.51
0.47,4.13,5.5
3.14,0.91,5.49
2.62,0.99,5.47
